FECHA,PROVINCIA_DESTINO,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2020/03,Asturias,21035,330004,16.0
2020/03,Badajoz,33680,575314,17.0
2020/03,Barcelona,436111,4206728,10.0
2020/03,Bizkaia,30684,374978,12.0
2020/03,Burgos,25963,254581,10.0
2020/03,Cantabria,15280,198967,13.0
2020/03,Castellón/Castelló,35109,474928,14.0
2020/03,Ceuta,19198,205395,11.0
2020/03,Ciudad Real,9682,157487,16.0
2020/03,Cuenca,6852,109142,16.0
2020/03,Cáceres,17201,225866,13.0
2020/03,Cádiz,109512,1045363,10.0
2020/03,Córdoba,15549,237817,15.0
2020/03,Gerona/Girona,145625,1575750,11.0
2020/03,Granada,50669,588589,12.0
2020/03,Guadalajara,13573,169102,12.0
2020/03,Guipúzcoa/Gipuzkoa,90283,1144684,13.0
2020/03,Huelva,34420,441831,13.0
2020/03,Huesca,14978,152970,10.0
2020/03,Islas Baleares/Illes Balears,163535,1494512,9.0
2020/03,Jaén,11287,204532,18.0
2020/03,La Rioja,9693,137617,14.0
2020/03,Las Palmas,399129,3655316,9.0
2020/03,León,10479,159357,15.0
2020/03,Lleida,38686,454602,12.0
2020/03,Lugo,7330,117888,16.0
2020/03,Madrid,324401,3992217,12.0
2020/03,Melilla,18493,231767,13.0
2020/03,Murcia,69732,1100929,16.0
2020/03,Málaga,225302,2523683,11.0
2020/03,Navarra,45469,562649,12.0
2020/03,Ourense,21139,317820,15.0
2020/03,Palencia,9955,108916,11.0
2020/03,Pontevedra,38734,535789,14.0
2020/03,Salamanca,30950,441343,14.0
2020/03,Santa Cruz de Tenerife,255100,2634798,10.0
2020/03,Segovia,7470,98560,13.0
2020/03,Sevilla,68231,728643,11.0
2020/03,Soria,7039,75314,11.0
2020/03,Tarragona,45116,529020,12.0
2020/03,Teruel,6306,81699,13.0
2020/03,Toledo,16718,243167,15.0
2020/03,Valencia/València,116236,1491481,13.0
2020/03,Valladolid,18411,249030,14.0
2020/03,Zamora,15287,208867,14.0
2020/03,Zaragoza,36471,479098,13.0
2020/03,Álava/Araba,22655,316017,14.0
2020/03,Ávila,3960,57536,15.0
2020/04,A Coruña,9755,147241,15.0
2020/04,Albacete,5324,76399,14.0
2020/04,Alicante/Alacant,44951,823760,18.0
2020/04,Almería,18770,269658,14.0
2020/04,Asturias,9400,143595,15.0
2020/04,Badajoz,14562,199105,14.0
2020/04,Barcelona,98148,1297800,13.0
2020/04,Bizkaia,10880,145544,13.0
2020/04,Burgos,12807,110640,9.0
2020/04,Cantabria,6895,92198,13.0
2020/04,Castellón/Castelló,13345,157059,12.0
2020/04,Ceuta,7907,54061,7.0
2020/04,Ciudad Real,4873,70086,14.0
2020/04,Cuenca,3486,49908,14.0
2020/04,Cáceres,7337,88158,12.0
2020/04,Cádiz,50614,423468,8.0
2020/04,Córdoba,5368,88656,17.0
2020/04,Gerona/Girona,51519,621496,12.0
2020/04,Granada,14082,190625,14.0
2020/04,Guadalajara,6800,73718,11.0
2020/04,Guipúzcoa/Gipuzkoa,33866,404240,12.0
2020/04,Huelva,17156,226644,13.0
2020/04,Huesca,5142,59825,12.0
2020/04,Islas Baleares/Illes Balears,21208,377119,18.0
2020/04,Jaén,5172,89854,17.0
2020/04,La Rioja,4664,57372,12.0
2020/04,Las Palmas,21608,328147,15.0
2020/04,León,5022,76670,15.0
2020/04,Lleida,10238,135738,13.0
2020/04,Lugo,3535,52899,15.0
2020/04,Madrid,82328,1251565,15.0
2020/04,Melilla,7280,69752,10.0
2020/04,Murcia,27998,432547,15.0
2020/04,Málaga,34183,604546,18.0
2020/04,Navarra,21027,233700,11.0
2020/04,Ourense,9018,114183,13.0
2020/04,Palencia,4237,42544,10.0
2020/04,Pontevedra,16771,225629,13.0
2020/04,Salamanca,13899,177939,13.0
2020/04,Santa Cruz de Tenerife,20842,360301,17.0
2020/04,Segovia,2906,38596,13.0
2020/04,Sevilla,15078,248584,16.0
2020/04,Soria,3392,32086,9.0
2020/04,Tarragona,18883,228298,12.0
2020/04,Teruel,2691,30746,11.0
2020/04,Toledo,8353,110030,13.0
2020/04,Valencia/València,39941,560388,14.0
2020/04,Valladolid,8048,94805,12.0
2020/04,Zamora,7117,81489,11.0
2020/04,Zaragoza,15718,191581,12.0
2020/04,Álava/Araba,10978,131490,12.0
2020/04,Ávila,1679,25353,15.0
2020/05,A Coruña,11416,168475,15.0
2020/05,Albacete,5805,78009,13.0
2020/05,Alicante/Alacant,44096,739417,17.0
2020/05,Almería,20012,281909,14.0
2020/05,Asturias,10629,142797,13.0
2020/05,Badajoz,19373,240639,12.0
2020/05,Barcelona,114602,1372761,12.0
2020/05,Bizkaia,12845,149655,12.0
2020/05,Burgos,14648,117689,8.0
2020/05,Cantabria,8288,104750,13.0
2020/05,Castellón/Castelló,14789,171019,12.0
2020/05,Ceuta,8896,62727,7.0
2020/05,Ciudad Real,5766,79732,14.0
2020/05,Cuenca,3867,50913,13.0
2020/05,Cáceres,9371,108631,12.0
2020/05,Cádiz,53297,435985,8.0
2020/05,Córdoba,6823,106440,16.0
2020/05,Gerona/Girona,63155,720860,11.0
2020/05,Granada,14728,193575,13.0
2020/05,Guadalajara,7822,78421,10.0
2020/05,Guipúzcoa/Gipuzkoa,44224,470131,11.0
2020/05,Huelva,19998,258153,13.0
2020/05,Huesca,6968,69580,10.0
2020/05,Islas Baleares/Illes Balears,24161,406153,17.0
2020/05,Jaén,5815,83379,14.0
2020/05,La Rioja,5226,64418,12.0
2020/05,Las Palmas,21566,315125,15.0
2020/05,León,5516,76835,14.0
2020/05,Lleida,13034,155949,12.0
2020/05,Lugo,4043,58439,14.0
2020/05,Madrid,93542,1276900,14.0
2020/05,Melilla,8515,76936,9.0
2020/05,Murcia,29620,441506,15.0
2020/05,Málaga,34591,563011,16.0
2020/05,Navarra,27226,270988,10.0
2020/05,Ourense,13867,154047,11.0
2020/05,Palencia,4945,45181,9.0
2020/05,Pontevedra,23006,284428,12.0
2020/05,Salamanca,16785,194867,12.0
2020/05,Santa Cruz de Tenerife,19081,320315,17.0
2020/05,Segovia,3173,40974,13.0
2020/05,Sevilla,18310,283166,15.0
2020/05,Soria,4124,35394,9.0
2020/05,Tarragona,20972,242769,12.0
2020/05,Teruel,3103,34012,11.0
2020/05,Toledo,9475,126401,13.0
2020/05,Valencia/València,44048,579150,13.0
2020/05,Valladolid,9665,104406,11.0
2020/05,Zamora,10261,105520,10.0
2020/05,Zaragoza,18448,200076,11.0
2020/05,Álava/Araba,13201,139267,11.0
2020/05,Ávila,1887,26909,14.0
2020/06,A Coruña,14060,118126,8.0
2020/06,Albacete,7995,64256,8.0
2020/06,Alicante/Alacant,54042,544560,10.0
2020/06,Almería,24236,191054,8.0
2020/06,Asturias,13444,106624,8.0
2020/06,Badajoz,20883,154067,7.0
2020/06,Barcelona,149218,1128767,8.0
2020/06,Bizkaia,16351,124349,8.0
2020/06,Burgos,17650,100194,6.0
2020/06,Cantabria,10607,81297,8.0
2020/06,Castellón/Castelló,18374,127953,7.0
2020/06,Ceuta,8421,49193,6.0
2020/06,Ciudad Real,7538,59931,8.0
2020/06,Cuenca,5241,38512,7.0
2020/06,Cáceres,10951,75030,7.0
2020/06,Cádiz,58563,344480,6.0
2020/06,Córdoba,8609,74148,9.0
